dataset	hypothesis	bin	n	node_error_rate	base_error_rate
half_strains	initial_colouring	0-0.5	78	0.6282051282051282	0.6381665486188405
half_strains	initial_colouring	0.5-0.8	1090	0.3458715596330275	0.3284530953789681
half_strains	initial_colouring	0.8-0.95	935	0.09304812834224599	0.08060097177863168
half_strains	initial_colouring	0.95-1	7969	0.19889572091855942	0.17439857395765457
half_strains	probability_sum	0-0.5	78	0.6153846153846154	0.6231154507740565
half_strains	probability_sum	0.5-0.8	1090	0.3422018348623853	0.3219689194247558
half_strains	probability_sum	0.8-0.95	935	0.09304812834224599	0.07897701594331075
half_strains	probability_sum	0.95-1	7969	0.19839377588154097	0.174012053705637
half_strains	lca	0-0.5	78	0.9871794871794872	0.9731103915815036
half_strains	lca	0.5-0.8	1090	0.8568807339449541	0.8560480738656717
half_strains	lca	0.8-0.95	935	0.4802139037433155	0.4804682009553445
half_strains	lca	0.95-1	7969	0.47772618898230645	0.43149816628217885
half_strains	gated_neighbour	0-0.5	78	0.6153846153846154	0.6231154507740565
half_strains	gated_neighbour	0.5-0.8	1090	0.3412844036697248	0.3213289542002246
half_strains	gated_neighbour	0.8-0.95	935	0.09411764705882353	0.08499495081641081
half_strains	gated_neighbour	0.95-1	7969	0.1986447484000502	0.174861443889083
half_strains	bayesian_edge	0-0.5	78	0.6153846153846154	0.6231154507740565
half_strains	bayesian_edge	0.5-0.8	1090	0.3412844036697248	0.3213289542002246
half_strains	bayesian_edge	0.8-0.95	935	0.09411764705882353	0.08499495081641081
half_strains	bayesian_edge	0.95-1	7969	0.1986447484000502	0.174861443889083
half_strains	edge_union	0-0.5	78	0.6153846153846154	0.6231154507740565
half_strains	edge_union	0.5-0.8	1090	0.3412844036697248	0.3213289542002246
half_strains	edge_union	0.8-0.95	935	0.09411764705882353	0.08499495081641081
half_strains	edge_union	0.95-1	7969	0.1986447484000502	0.174861443889083
half_strains	leakage	0-0.5	78	0.6153846153846154	0.6231154507740565
half_strains	leakage	0.5-0.8	1090	0.3412844036697248	0.3213289542002246
half_strains	leakage	0.8-0.95	935	0.09304812834224599	0.07897701594331075
half_strains	leakage	0.95-1	7969	0.19839377588154097	0.174012053705637
half_strains	leakage_flipped	0-0.5	78	0.6153846153846154	0.6231154507740565
half_strains	leakage_flipped	0.5-0.8	1090	0.3412844036697248	0.3213289542002246
half_strains	leakage_flipped	0.8-0.95	935	0.09411764705882353	0.08499495081641081
half_strains	leakage_flipped	0.95-1	7969	0.1986447484000502	0.174861443889083
half_strains	label_drop	0-0.5	78	0.6153846153846154	0.6231154507740565
half_strains	label_drop	0.5-0.8	1090	0.3422018348623853	0.3219689194247558
half_strains	label_drop	0.8-0.95	935	0.09304812834224599	0.07897701594331075
half_strains	label_drop	0.95-1	7969	0.19839377588154097	0.174012053705637
half_strains	logistic_drop	0-0.5	78	0.6153846153846154	0.6231154507740565
half_strains	logistic_drop	0.5-0.8	1090	0.3422018348623853	0.3219689194247558
half_strains	logistic_drop	0.8-0.95	935	0.09304812834224599	0.07897701594331075
half_strains	logistic_drop	0.95-1	7969	0.19839377588154097	0.174012053705637
