dataset	hypothesis	bin	n	node_error_rate	base_error_rate
half_strains	initial_colouring	0	10035	0.20797209765819633	0.18511943287733496
half_strains	initial_colouring	1-2	34	0.29411764705882354	0.18569996354356544
half_strains	initial_colouring	3-8	3	0.3333333333333333	0.4819277108433735
half_strains	probability_sum	0	10035	0.20707523667164923	0.1838502393796664
half_strains	probability_sum	1-2	34	0.29411764705882354	0.18569996354356544
half_strains	probability_sum	3-8	3	0.3333333333333333	0.4819277108433735
half_strains	lca	0	10035	0.5226706527154957	0.4845130380882315
half_strains	lca	1-2	34	0.5588235294117647	0.5521327014218009
half_strains	lca	3-8	3	1.0	1.0
half_strains	gated_neighbour	0	10035	0.20707523667164923	0.1838502393796664
half_strains	gated_neighbour	1-2	34	0.35294117647058826	0.44403937294932555
half_strains	gated_neighbour	3-8	3	0.3333333333333333	0.4819277108433735
half_strains	bayesian_edge	0	10035	0.20707523667164923	0.1838502393796664
half_strains	bayesian_edge	1-2	34	0.35294117647058826	0.44403937294932555
half_strains	bayesian_edge	3-8	3	0.3333333333333333	0.4819277108433735
half_strains	edge_union	0	10035	0.20707523667164923	0.1838502393796664
half_strains	edge_union	1-2	34	0.35294117647058826	0.44403937294932555
half_strains	edge_union	3-8	3	0.3333333333333333	0.4819277108433735
half_strains	leakage	0	10035	0.20707523667164923	0.1838502393796664
half_strains	leakage	1-2	34	0.2647058823529412	0.1712085308056872
half_strains	leakage	3-8	3	0.3333333333333333	0.4819277108433735
half_strains	leakage_flipped	0	10035	0.20707523667164923	0.1838502393796664
half_strains	leakage_flipped	1-2	34	0.35294117647058826	0.44403937294932555
half_strains	leakage_flipped	3-8	3	0.3333333333333333	0.4819277108433735
half_strains	label_drop	0	10035	0.20707523667164923	0.1838502393796664
half_strains	label_drop	1-2	34	0.29411764705882354	0.18569996354356544
half_strains	label_drop	3-8	3	0.3333333333333333	0.4819277108433735
half_strains	logistic_drop	0	10035	0.20707523667164923	0.1838502393796664
half_strains	logistic_drop	1-2	34	0.29411764705882354	0.18569996354356544
half_strains	logistic_drop	3-8	3	0.3333333333333333	0.4819277108433735
