dataset	hypothesis	rescued_nodes	harmed_nodes	rescued_bases	harmed_bases	net_bases
half_strains	initial_colouring	8	17	3072	9098	-6026
half_strains	lca	0	3178	0	1436159	-1436159
half_strains	gated_neighbour	1	3	318	5987	-5669
half_strains	bayesian_edge	1	3	318	5987	-5669
half_strains	edge_union	1	3	318	5987	-5669
half_strains	leakage	1	0	318	0	318
half_strains	leakage_flipped	1	3	318	5987	-5669
half_strains	label_drop	0	0	0	0	0
half_strains	logistic_drop	0	0	0	0	0
half_strains	confident_lock	1	0	318	0	318
half_strains	unanimous_rescue	1	0	318	0	318
half_strains	cut_then_leak	1	0	318	0	318
half_strains	genus_plurality	72	2	33360	977	32383
half_strains	margin_mixture	0	0	0	0	0
