pair_id	role	genus	accession	organism_name	tax_id	strain	refseq_category	total_sequence_length	assembly_level	note
eco_albertii	sim	Escherichia	GCF_001549955.1	Escherichia albertii	208962	EC06-170		4657167	Complete Genome	Different strain from the RefSeq reference; lengths differ
eco_albertii	db	Escherichia	GCF_028622335.1	Escherichia albertii	208962	BIA_5-2	reference genome	4758111	Complete Genome	RefSeq reference genome for this species
eco_fergusonii	sim	Escherichia	GCF_003944565.2	Escherichia fergusonii	564	EFCF056		5179664	Complete Genome	Different strain from the RefSeq reference; lengths differ
eco_fergusonii	db	Escherichia	GCF_020097475.1	Escherichia fergusonii	564	FDAARGOS_1499	reference genome	4645928	Complete Genome	RefSeq reference genome for this species
eco_marmotae	sim	Escherichia	GCF_002900365.1	Escherichia marmotae	1499973	HT073016		4896291	Complete Genome	Different strain from the RefSeq reference; lengths differ
eco_marmotae	db	Escherichia	GCF_029962465.1	Escherichia marmotae	1499973	YF8	reference genome	4669757	Complete Genome	RefSeq reference genome for this species
eco_ruysiae	sim	Escherichia	GCF_059553235.1	Escherichia ruysiae	2608867	GMM071		4533606	Complete Genome	No RefSeq reference in the NCBI summary; two strains with different lengths
eco_ruysiae	db	Escherichia	GCF_029876145.1	Escherichia ruysiae	2608867	S1-IND-07-A		4501754	Complete Genome	GenBank twin GCA_029876145.1 has the same length and was not used
eco_coli	sim	Escherichia	GCF_000952955.1	Escherichia coli	562	K-12 substr. RV308		4585620	Complete Genome	K-12 substrain, not the MG1655 reference; taxId 562 is from the downloaded assembly report
eco_coli	db	Escherichia	GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655	511145	K-12 substr. MG1655	reference genome	4641652	Complete Genome	RefSeq reference; strain tax_id 511145
shi_flexneri	sim	Shigella	GCF_000783735.2	Shigella flexneri	623	FDAARGOS_74		4805861	Complete Genome	Different strain from the 2a reference; lengths differ
shi_flexneri	db	Shigella	GCF_000006925.2	Shigella flexneri 2a str. 301	198214	301	reference genome	4828820	Complete Genome	RefSeq reference; strain tax_id 198214
shi_sonnei	sim	Shigella	GCF_001518855.1	Shigella sonnei	624	FORC_011		5132711	Complete Genome	Different strain from the RefSeq reference; lengths differ
shi_sonnei	db	Shigella	GCF_002950395.1	Shigella sonnei	624	ATCC 29930	reference genome	4994001	Complete Genome	RefSeq reference genome for this species
shi_boydii	sim	Shigella	GCF_002949175.1	Shigella boydii	621	NCTC 9850		4726294	Complete Genome	No RefSeq reference in the NCBI summary; two strains with different lengths
shi_boydii	db	Shigella	GCF_001027225.1	Shigella boydii	621	ATCC 9210		4574246	Complete Genome	Suppressed assemblies from the same summary were not used
shi_dysenteriae	sim	Shigella	GCF_002741615.1	Shigella dysenteriae	622	BU53M1		4764892	Complete Genome	Different strain from the RefSeq reference; lengths differ
shi_dysenteriae	db	Shigella	GCF_022354085.1	Shigella dysenteriae	622	SWHEFF_49	reference genome	5192674	Complete Genome	RefSeq reference genome for this species
shi_flexneri_2a	sim	Shigella	GCF_001580175.1	Shigella flexneri 2a	42897	981		4891752	Complete Genome	Same subspecies tax_id as the database assembly; lengths differ
shi_flexneri_2a	db	Shigella	GCF_002950215.1	Shigella flexneri 2a	42897	ATCC 29903		4938295	Complete Genome	Not the str. 301 reference; GenBank twin was not used
pse_aeruginosa	sim	Pseudomonas	GCF_000816985.1	Pseudomonas aeruginosa	287	F22031		6603099	Complete Genome	Different strain from the PAO1 reference; lengths differ
pse_aeruginosa	db	Pseudomonas	GCF_000006765.1	Pseudomonas aeruginosa PAO1	208964	PAO1	reference genome	6264404	Complete Genome	RefSeq reference; strain tax_id 208964
pse_putida	sim	Pseudomonas	GCF_000691565.1	Pseudomonas putida	303	DLL-E4		6484062	Complete Genome	Different strain from the RefSeq reference; lengths differ
pse_putida	db	Pseudomonas	GCF_000412675.1	Pseudomonas putida NBRC 14164	1211579	NBRC 14164	reference genome	6156701	Complete Genome	RefSeq reference; strain tax_id 1211579
pse_fluorescens	sim	Pseudomonas	GCF_000730425.1	Pseudomonas fluorescens	294	UK4		6064456	Complete Genome	Different strain from the reference; lengths differ
pse_fluorescens	db	Pseudomonas	GCF_900215245.1	Pseudomonas fluorescens	294	ATCC 13525	reference genome	6511547	Chromosome	RefSeq reference; assembly level is chromosome
pse_syringae	sim	Pseudomonas	GCF_014524645.1	Pseudomonas syringae	317	CAS02		6029081	Complete Genome	Different strain from the reference; lengths differ
pse_syringae	db	Pseudomonas	GCF_018394375.1	Pseudomonas syringae	317	Susan2139	reference genome	5868373	Complete Genome	RefSeq reference genome for this species
pse_protegens	sim	Pseudomonas	GCF_003363755.1	Pseudomonas protegens	380021	FD6		6667995	Complete Genome	No RefSeq reference in the NCBI summary; two strains with different lengths
pse_protegens	db	Pseudomonas	GCF_002208745.2	Pseudomonas protegens	380021	FDAARGOS_307		7075815	Complete Genome	Suppressed assemblies were not used
str_pneumoniae	sim	Streptococcus	GCF_001255215.1	Streptococcus pneumoniae	1313	A66		1983415	Complete Genome	Different strain from the reference; lengths differ
