dataset	hypothesis	bin	n	node_error_rate	base_error_rate
heldout_genera	initial_colouring	0-0.5	286	0.5944055944055944	0.556292805066647
heldout_genera	initial_colouring	0.5-0.8	1288	0.5131987577639752	0.5166225840743925
heldout_genera	initial_colouring	0.8-0.95	523	0.3441682600382409	0.3487465927878815
heldout_genera	initial_colouring	0.95-1	4342	0.5476738830032243	0.5519275664629517
heldout_genera	probability_sum	0-0.5	286	0.5769230769230769	0.5384638044038589
heldout_genera	probability_sum	0.5-0.8	1288	0.5116459627329193	0.5130832780033306
heldout_genera	probability_sum	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	probability_sum	0.95-1	4342	0.5465223399355136	0.5507954293959476
heldout_genera	lca	0-0.5	286	0.9790209790209791	0.9794977538846749
heldout_genera	lca	0.5-0.8	1288	0.8967391304347826	0.8991415686146456
heldout_genera	lca	0.8-0.95	523	0.6883365200764818	0.7031324009115689
heldout_genera	lca	0.95-1	4342	0.7512666973744818	0.7576343737492905
heldout_genera	gated_neighbour	0-0.5	286	0.5734265734265734	0.5349142057588924
heldout_genera	gated_neighbour	0.5-0.8	1288	0.5108695652173914	0.5092863699527246
heldout_genera	gated_neighbour	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	gated_neighbour	0.95-1	4342	0.5467526485490557	0.5510057083175769
heldout_genera	bayesian_edge	0-0.5	286	0.5734265734265734	0.5349142057588924
heldout_genera	bayesian_edge	0.5-0.8	1288	0.5108695652173914	0.5092863699527246
heldout_genera	bayesian_edge	0.8-0.95	523	0.35372848948374763	0.36373385763438937
heldout_genera	bayesian_edge	0.95-1	4342	0.5467526485490557	0.5521326174555902
heldout_genera	edge_union	0-0.5	286	0.5734265734265734	0.5349142057588924
heldout_genera	edge_union	0.5-0.8	1288	0.5108695652173914	0.5092863699527246
heldout_genera	edge_union	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	edge_union	0.95-1	4342	0.5465223399355136	0.5507954293959476
heldout_genera	leakage	0-0.5	286	0.5734265734265734	0.5349142057588924
heldout_genera	leakage	0.5-0.8	1288	0.5108695652173914	0.5092863699527246
heldout_genera	leakage	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	leakage	0.95-1	4342	0.5465223399355136	0.5507954293959476
heldout_genera	leakage_flipped	0-0.5	286	0.5734265734265734	0.5349142057588924
heldout_genera	leakage_flipped	0.5-0.8	1288	0.5108695652173914	0.5092863699527246
heldout_genera	leakage_flipped	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	leakage_flipped	0.95-1	4342	0.5467526485490557	0.5510057083175769
heldout_genera	label_drop	0-0.5	286	0.5769230769230769	0.5384638044038589
heldout_genera	label_drop	0.5-0.8	1288	0.5116459627329193	0.5130832780033306
heldout_genera	label_drop	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	label_drop	0.95-1	4342	0.5465223399355136	0.5507954293959476
heldout_genera	logistic_drop	0-0.5	286	0.5769230769230769	0.5384638044038589
heldout_genera	logistic_drop	0.5-0.8	1288	0.5116459627329193	0.5130832780033306
heldout_genera	logistic_drop	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	logistic_drop	0.95-1	4342	0.5465223399355136	0.5507954293959476
heldout_genera	confident_lock	0-0.5	286	0.5734265734265734	0.5349142057588924
heldout_genera	confident_lock	0.5-0.8	1288	0.5108695652173914	0.5092863699527246
heldout_genera	confident_lock	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	confident_lock	0.95-1	4342	0.5465223399355136	0.5507954293959476
heldout_genera	unanimous_rescue	0-0.5	286	0.5734265734265734	0.5349142057588924
heldout_genera	unanimous_rescue	0.5-0.8	1288	0.5108695652173914	0.5092863699527246
heldout_genera	unanimous_rescue	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	unanimous_rescue	0.95-1	4342	0.5465223399355136	0.5507954293959476
heldout_genera	cut_then_leak	0-0.5	286	0.5734265734265734	0.5349142057588924
heldout_genera	cut_then_leak	0.5-0.8	1288	0.5108695652173914	0.5092863699527246
heldout_genera	cut_then_leak	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	cut_then_leak	0.95-1	4342	0.5465223399355136	0.5507954293959476
heldout_genera	genus_plurality	0-0.5	286	0.2867132867132867	0.2957286987259739
heldout_genera	genus_plurality	0.5-0.8	1288	0.5116459627329193	0.5130832780033306
heldout_genera	genus_plurality	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	genus_plurality	0.95-1	4342	0.5271764163979733	0.5328038022146669
heldout_genera	margin_mixture	0-0.5	286	0.5769230769230769	0.5384638044038589
heldout_genera	margin_mixture	0.5-0.8	1288	0.5116459627329193	0.5130832780033306
heldout_genera	margin_mixture	0.8-0.95	523	0.35181644359464626	0.3564904598060682
heldout_genera	margin_mixture	0.95-1	4342	0.5465223399355136	0.5507954293959476
