dataset	hypothesis	bin	n	node_error_rate	base_error_rate
heldout_genera	initial_colouring	Q1:<=327	1629	0.5009208103130756	0.5009495222961176
heldout_genera	initial_colouring	Q2:<=368	1615	0.5362229102167183	0.5363302627675127
heldout_genera	initial_colouring	Q3:<=438	1595	0.534796238244514	0.5344546575478368
heldout_genera	initial_colouring	Q4:>438	1600	0.53375	0.5319605379697052
heldout_genera	probability_sum	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	probability_sum	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	probability_sum	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	probability_sum	Q4:>438	1600	0.53	0.5273682713380929
heldout_genera	lca	Q1:<=327	1629	0.7630448127685697	0.7633021403488122
heldout_genera	lca	Q2:<=368	1615	0.7647058823529411	0.7649480077067985
heldout_genera	lca	Q3:<=438	1595	0.7931034482758621	0.7929712782056713
heldout_genera	lca	Q4:>438	1600	0.82125	0.8293017211841195
heldout_genera	gated_neighbour	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	gated_neighbour	Q2:<=368	1615	0.5368421052631579	0.5369576018845196
heldout_genera	gated_neighbour	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	gated_neighbour	Q4:>438	1600	0.52875	0.524593732019369
heldout_genera	bayesian_edge	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	bayesian_edge	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	bayesian_edge	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	bayesian_edge	Q4:>438	1600	0.53	0.5288207292028075
heldout_genera	edge_union	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	edge_union	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	edge_union	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	edge_union	Q4:>438	1600	0.52875	0.524593732019369
heldout_genera	leakage	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	leakage	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	leakage	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	leakage	Q4:>438	1600	0.52875	0.524593732019369
heldout_genera	leakage_flipped	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	leakage_flipped	Q2:<=368	1615	0.5368421052631579	0.5369576018845196
heldout_genera	leakage_flipped	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	leakage_flipped	Q4:>438	1600	0.52875	0.524593732019369
heldout_genera	label_drop	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	label_drop	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	label_drop	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	label_drop	Q4:>438	1600	0.53	0.5273682713380929
heldout_genera	logistic_drop	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	logistic_drop	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	logistic_drop	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	logistic_drop	Q4:>438	1600	0.53	0.5273682713380929
heldout_genera	confident_lock	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	confident_lock	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	confident_lock	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	confident_lock	Q4:>438	1600	0.52875	0.524593732019369
heldout_genera	unanimous_rescue	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	unanimous_rescue	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	unanimous_rescue	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	unanimous_rescue	Q4:>438	1600	0.52875	0.524593732019369
heldout_genera	cut_then_leak	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	cut_then_leak	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	cut_then_leak	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	cut_then_leak	Q4:>438	1600	0.52875	0.524593732019369
heldout_genera	genus_plurality	Q1:<=327	1629	0.470841006752609	0.47072371647735073
heldout_genera	genus_plurality	Q2:<=368	1615	0.5114551083591331	0.5115173027635093
heldout_genera	genus_plurality	Q3:<=438	1595	0.5115987460815047	0.5114491916040836
heldout_genera	genus_plurality	Q4:>438	1600	0.503125	0.5054294771367185
heldout_genera	margin_mixture	Q1:<=327	1629	0.49846531614487416	0.4984599690031978
heldout_genera	margin_mixture	Q2:<=368	1615	0.5362229102167183	0.5363106025672647
heldout_genera	margin_mixture	Q3:<=438	1595	0.5360501567398119	0.5359569653382633
heldout_genera	margin_mixture	Q4:>438	1600	0.53	0.5273682713380929
