dataset	hypothesis	name	truth	estimated	error
heldout_genera	kraken2	unclassified	0.0	0.31262	0.31262
heldout_genera	kraken2	Pseudomonas aeruginosa	0.08399	0.08779	0.0038000000000000117
heldout_genera	kraken2	Pseudomonas fluorescens	0.28199	0.09015	-0.19184
heldout_genera	kraken2	Pseudomonas putida	0.16377	0.11671	-0.047060000000000005
heldout_genera	kraken2	Pseudomonas syringae	0.00438	0.01305	0.00867
heldout_genera	kraken2	Escherichia coli	0.00203	0.003	0.0009699999999999999
heldout_genera	kraken2	Escherichia fergusonii	0.00417	0.00489	0.0007200000000000002
heldout_genera	kraken2	Shigella boydii	0.11925	0.04233	-0.07691999999999999
heldout_genera	kraken2	Shigella dysenteriae	0.00541	0.00522	-0.00019000000000000006
heldout_genera	kraken2	Shigella flexneri	0.07235	0.04916	-0.023189999999999995
heldout_genera	kraken2	Shigella sonnei	0.00153	0.00789	0.006359999999999999
heldout_genera	kraken2	Streptococcus thermophilus	0.00212	0.002	-0.00011999999999999988
heldout_genera	kraken2	Streptococcus mutans	0.00215	0.0022	5.000000000000013e-05
heldout_genera	kraken2	Streptococcus agalactiae	0.00328	0.00297	-0.00030999999999999995
heldout_genera	kraken2	Streptococcus pneumoniae	0.07955	0.07542	-0.004129999999999995
heldout_genera	kraken2	Streptococcus pyogenes	0.01527	0.01434	-0.0009300000000000003
heldout_genera	kraken2	Escherichia albertii	0.01271	0.01356	0.0008499999999999983
heldout_genera	kraken2	Pseudomonas protegens	0.08114	0.0991	0.01795999999999999
heldout_genera	kraken2	Escherichia marmotae	0.05776	0.04955	-0.008210000000000002
heldout_genera	kraken2	Escherichia ruysiae	0.00715	0.00805	0.0008999999999999998
heldout_genera	initial_colouring	unclassified	0.0	0.26950954	0.26950954
heldout_genera	initial_colouring	Pseudomonas aeruginosa	0.08399	0.039072445	-0.044917555
heldout_genera	initial_colouring	Pseudomonas fluorescens	0.28199	0.15537805	-0.12661195000000003
heldout_genera	initial_colouring	Pseudomonas putida	0.16377	0.11101183	-0.05275816999999999
heldout_genera	initial_colouring	Pseudomonas syringae	0.00438	0.011065816	0.006685815999999999
heldout_genera	initial_colouring	Escherichia coli	0.00203	0.0028522141	0.0008222141
heldout_genera	initial_colouring	Escherichia fergusonii	0.00417	0.0022428705	-0.0019271295000000003
heldout_genera	initial_colouring	Shigella boydii	0.11925	0.05576899	-0.06348101
heldout_genera	initial_colouring	Shigella dysenteriae	0.00541	0.006481683	0.0010716830000000004
heldout_genera	initial_colouring	Shigella flexneri	0.07235	0.06858154	-0.0037684600000000013
heldout_genera	initial_colouring	Shigella sonnei	0.00153	0.0062697044	0.0047397044
heldout_genera	initial_colouring	Streptococcus thermophilus	0.00212	0.0	-0.00212
heldout_genera	initial_colouring	Streptococcus mutans	0.00215	0.00013714029	-0.00201285971
heldout_genera	initial_colouring	Streptococcus agalactiae	0.00328	0.00028339793	-0.00299660207
heldout_genera	initial_colouring	Streptococcus pneumoniae	0.07955	0.098429497	0.01887949700000001
heldout_genera	initial_colouring	Streptococcus pyogenes	0.01527	0.001840567	-0.013429433000000001
heldout_genera	initial_colouring	Escherichia albertii	0.01271	0.01184611	-0.0008638900000000008
heldout_genera	initial_colouring	Pseudomonas protegens	0.08114	0.088501832	0.007361831999999999
heldout_genera	initial_colouring	Escherichia marmotae	0.05776	0.061093908	0.0033339080000000035
heldout_genera	initial_colouring	Escherichia ruysiae	0.00715	0.0096328705	0.0024828704999999996
heldout_genera	probability_sum	unclassified	0.0	0.24674881	0.24674881
heldout_genera	probability_sum	Pseudomonas aeruginosa	0.08399	0.042767049	-0.041222950999999994
heldout_genera	probability_sum	Pseudomonas fluorescens	0.28199	0.14643964	-0.13555036
heldout_genera	probability_sum	Pseudomonas putida	0.16377	0.11041494	-0.053355059999999996
heldout_genera	probability_sum	Pseudomonas syringae	0.00438	0.018864761	0.014484761
heldout_genera	probability_sum	Escherichia coli	0.00203	0.0053947157	0.0033647157
heldout_genera	probability_sum	Escherichia fergusonii	0.00417	0.0039878649	-0.0001821351000000004
