dataset	hypothesis	bin	n	node_error_rate	base_error_rate
samovar10	initial_colouring	0.5-0.8	33	0.5454545454545454	0.535282441390596
samovar10	initial_colouring	0.8-0.95	10	0.6	0.6242645383407673
samovar10	initial_colouring	0.95-1	356	0.028089887640449437	0.02244110932939456
samovar10	probability_sum	0.5-0.8	33	0.5151515151515151	0.5183168425725897
samovar10	probability_sum	0.8-0.95	10	0.5	0.5202204486173061
samovar10	probability_sum	0.95-1	356	0.02247191011235955	0.019446258452231573
samovar10	lca	0.5-0.8	33	1.0	1.0
samovar10	lca	0.8-0.95	10	1.0	1.0
samovar10	lca	0.95-1	356	0.7837078651685393	0.7807496543887782
samovar10	gated_neighbour	0.5-0.8	33	0.6666666666666666	0.6592071236864371
samovar10	gated_neighbour	0.8-0.95	10	0.6	0.6242645383407673
samovar10	gated_neighbour	0.95-1	356	0.014044943820224719	0.012236460758737725
samovar10	bayesian_edge	0.5-0.8	33	0.6060606060606061	0.5972447825385165
samovar10	bayesian_edge	0.8-0.95	10	0.6	0.6242645383407673
samovar10	bayesian_edge	0.95-1	356	0.025280898876404494	0.02229548534300703
samovar10	edge_union	0.5-0.8	33	0.6060606060606061	0.5972447825385165
samovar10	edge_union	0.8-0.95	10	0.5	0.5202204486173061
samovar10	edge_union	0.95-1	356	0.02247191011235955	0.019446258452231573
samovar10	leakage	0.5-0.8	33	0.6060606060606061	0.5972447825385165
samovar10	leakage	0.8-0.95	10	0.5	0.5202204486173061
samovar10	leakage	0.95-1	356	0.02247191011235955	0.019446258452231573
samovar10	leakage_flipped	0.5-0.8	33	0.6060606060606061	0.5972447825385165
samovar10	leakage_flipped	0.8-0.95	10	0.6	0.6242645383407673
samovar10	leakage_flipped	0.95-1	356	0.014044943820224719	0.009637851865274877
samovar10	label_drop	0.5-0.8	33	0.5151515151515151	0.5183168425725897
samovar10	label_drop	0.8-0.95	10	0.5	0.5202204486173061
samovar10	label_drop	0.95-1	356	0.02247191011235955	0.019446258452231573
samovar10	logistic_drop	0.5-0.8	33	0.5151515151515151	0.5183168425725897
samovar10	logistic_drop	0.8-0.95	10	0.5	0.5202204486173061
samovar10	logistic_drop	0.95-1	356	0.02247191011235955	0.019446258452231573
samovar10	confident_lock	0.5-0.8	33	0.5454545454545454	0.5492980131465499
samovar10	confident_lock	0.8-0.95	10	0.5	0.5202204486173061
samovar10	confident_lock	0.95-1	356	0.02247191011235955	0.019446258452231573
samovar10	unanimous_rescue	0.5-0.8	33	0.5151515151515151	0.5183168425725897
samovar10	unanimous_rescue	0.8-0.95	10	0.5	0.5202204486173061
samovar10	unanimous_rescue	0.95-1	356	0.02247191011235955	0.019446258452231573
samovar10	cut_then_leak	0.5-0.8	33	0.6060606060606061	0.5972447825385165
samovar10	cut_then_leak	0.8-0.95	10	0.5	0.5202204486173061
samovar10	cut_then_leak	0.95-1	356	0.02247191011235955	0.019446258452231573
samovar10	genus_plurality	0.5-0.8	33	0.5151515151515151	0.5183168425725897
samovar10	genus_plurality	0.8-0.95	10	0.5	0.5202204486173061
samovar10	genus_plurality	0.95-1	356	0.011235955056179775	0.008049350889129744
samovar10	margin_mixture	0.5-0.8	33	0.5151515151515151	0.5183168425725897
samovar10	margin_mixture	0.8-0.95	10	0.5	0.5202204486173061
samovar10	margin_mixture	0.95-1	356	0.02247191011235955	0.019446258452231573
