dataset	hypothesis	bin	n	node_error_rate	base_error_rate
samovar10	initial_colouring	3-8	79	0.12658227848101267	0.09745693736192548
samovar10	initial_colouring	9+	320	0.075	0.0749978204238985
samovar10	probability_sum	3-8	79	0.10126582278481013	0.08710741989601847
samovar10	probability_sum	9+	320	0.06875	0.06926785732446038
samovar10	lca	3-8	79	0.7468354430379747	0.7342325133299005
samovar10	lca	9+	320	0.821875	0.8206881238967716
samovar10	gated_neighbour	3-8	79	0.13924050632911392	0.12720070428383967
samovar10	gated_neighbour	9+	320	0.06875	0.06926785732446038
samovar10	bayesian_edge	3-8	79	0.12658227848101267	0.1076726408982941
samovar10	bayesian_edge	9+	320	0.078125	0.07871347423234133
samovar10	edge_union	3-8	79	0.11392405063291139	0.09438426656478913
samovar10	edge_union	9+	320	0.075	0.07556493526304768
samovar10	leakage	3-8	79	0.11392405063291139	0.09438426656478913
samovar10	leakage	9+	320	0.075	0.07556493526304768
samovar10	leakage_flipped	3-8	79	0.11392405063291139	0.08850442668969985
samovar10	leakage_flipped	9+	320	0.06875	0.06926785732446038
samovar10	label_drop	3-8	79	0.10126582278481013	0.08710741989601847
samovar10	label_drop	9+	320	0.06875	0.06926785732446038
samovar10	logistic_drop	3-8	79	0.10126582278481013	0.08710741989601847
samovar10	logistic_drop	9+	320	0.06875	0.06926785732446038
