dataset	hypothesis	bin	n	node_error_rate	base_error_rate
samovar10	initial_colouring	Q1:<=100000	399	0.08521303258145363	0.07929993016875315
samovar10	probability_sum	Q1:<=100000	399	0.07518796992481203	0.07268507787657824
samovar10	lca	Q1:<=100000	399	0.8070175438596491	0.8041272980306693
samovar10	gated_neighbour	Q1:<=100000	399	0.08270676691729323	0.08036506413534464
samovar10	bayesian_edge	Q1:<=100000	399	0.08771929824561403	0.08426068757382056
samovar10	edge_union	Q1:<=100000	399	0.08270676691729323	0.07916983339008787
samovar10	leakage	Q1:<=100000	399	0.08270676691729323	0.07916983339008787
samovar10	leakage_flipped	Q1:<=100000	399	0.07769423558897243	0.07295267862674616
samovar10	label_drop	Q1:<=100000	399	0.07518796992481203	0.07268507787657824
samovar10	logistic_drop	Q1:<=100000	399	0.07518796992481203	0.07268507787657824
