dataset	hypothesis	name	truth	estimated	error
samovar10	initial_colouring	Treponema denticola	0.07009628	0.0700962767070665	-3.292933495324668e-09
samovar10	initial_colouring	Citrobacter freundii	0.0	0.0013939013297769305	0.0013939013297769305
samovar10	initial_colouring	Escherichia coli	0.0	0.0007500355468893379	0.0007500355468893379
samovar10	initial_colouring	Klebsiella pneumoniae	0.145419	0.14466896695216008	-0.0007500330478399098
samovar10	initial_colouring	Proteus mirabilis	0.1030858	0.10169189957027591	-0.0013939004297240931
samovar10	initial_colouring	Enterococcus faecalis	0.07730022	0.1275216464392606	0.050221426439260586
samovar10	initial_colouring	Enterobacter asburiae	0.0	0.0025454270918663473	0.0025454270918663473
samovar10	initial_colouring	Corynebacterium auriscanis	0.06363568	0.06363567729665869	-2.703341314691521e-09
samovar10	initial_colouring	Enterobacter hormaechei	0.0	0.0025454270918663473	0.0025454270918663473
samovar10	initial_colouring	Enterobacter ludwigii	0.12681287	0.10690793785838659	-0.019904932141613402
samovar10	initial_colouring	Flagellimonas sp.	0.09032298	0.08777755146102678	-0.0025454285389732156
samovar10	initial_colouring	Enterobacter cloacae complex sp. FDA-CDC-AR_0132	0.0	0.0025454270918663473	0.0025454270918663473
samovar10	initial_colouring	Enterococcus sp. DIV0210g	0.0	0.0013501963466095853	0.0013501963466095853
samovar10	initial_colouring	Enterococcus sp. DIV0180	0.07499067	0.07050647228292076	-0.0044841977170792385
samovar10	initial_colouring	Enterococcus sp. DIV0176	0.0	0.0025454270918663473	0.0025454270918663473
samovar10	initial_colouring	Enterococcus sp. DIV2432	0.08075877	0.030537336095495058	-0.05022143390450494
samovar10	initial_colouring	Roseateles chitinivorans	0.16757773	0.16757773441614443	4.4161444223700386e-09
samovar10	probability_sum	Treponema denticola	0.07009628	0.07009341345949409	-2.866540505908066e-06
samovar10	probability_sum	Citrobacter freundii	0.0	0.0003982575227934087	0.0003982575227934087
samovar10	probability_sum	Escherichia coli	0.0	0.0032127890050855585	0.0032127890050855585
samovar10	probability_sum	Klebsiella pneumoniae	0.145419	0.14271330489760217	-0.0027056951023978204
samovar10	probability_sum	Proteus mirabilis	0.1030858	0.10268468895943844	-0.00040111104056156366
samovar10	probability_sum	Enterococcus faecalis	0.07730022	0.12029676134051465	0.042996541340514643
samovar10	probability_sum	Enterobacter asburiae	0.0	0.003181783864832934	0.003181783864832934
samovar10	probability_sum	Corynebacterium auriscanis	0.06363568	0.06363567729665869	-2.703341314691521e-09
samovar10	probability_sum	Enterobacter hormaechei	0.0	0.003877366913834679	0.003877366913834679
samovar10	probability_sum	Enterobacter ludwigii	0.12681287	0.10970699615411905	-0.017105873845880942
samovar10	probability_sum	Flagellimonas sp.	0.09032298	0.08777755146102678	-0.0025454285389732156
samovar10	probability_sum	Enterobacter cloacae complex sp. FDA-CDC-AR_0132	0.0	0.0019090703188997605	0.0019090703188997605
samovar10	probability_sum	Enterococcus sp. DIV0210g	0.0	0.0014171812700797524	0.0014171812700797524
samovar10	probability_sum	Enterococcus sp. DIV0180	0.07499067	0.06857217533809662	-0.006418494661903376
samovar10	probability_sum	Enterococcus sp. DIV0176	0.0	0.004858346550866841	0.004858346550866841
samovar10	probability_sum	Enterococcus sp. DIV2432	0.08075877	0.037905192863046715	-0.04285357713695328
samovar10	probability_sum	Roseateles chitinivorans	0.16757773	0.16757773441614443	4.4161444223700386e-09
samovar10	leakage	Treponema denticola	0.07009628	0.07009286192402896	-3.4180759710400466e-06
samovar10	leakage	Citrobacter freundii	0.0	0.0004816267301440434	0.0004816267301440434
samovar10	leakage	Escherichia coli	0.0	0.0036078079422957807	0.0036078079422957807
samovar10	leakage	Klebsiella pneumoniae	0.145419	0.14188066618396686	-0.0035383338160331346
samovar10	leakage	Proteus mirabilis	0.1030858	0.10289348166822687	-0.00019231833177313362
samovar10	leakage	Enterococcus faecalis	0.07730022	0.12101887141874425	0.043718651418744245
samovar10	leakage	Enterobacter asburiae	0.0	0.002987092805982939	0.002987092805982939
samovar10	leakage	Corynebacterium auriscanis	0.06363568	0.06363567729665869	-2.703341314691521e-09
samovar10	leakage	Enterobacter hormaechei	0.0	0.004007104422873675	0.004007104422873675
samovar10	leakage	Enterobacter ludwigii	0.12681287	0.10970712879514444	-0.017105741204855557
samovar10	leakage	Flagellimonas sp.	0.09032298	0.0881531565600328	-0.002169823439967203
samovar10	leakage	Enterobacter cloacae complex sp. FDA-CDC-AR_0132	0.0	0.0016582490481394456	0.0016582490481394456
samovar10	leakage	Enterococcus sp. DIV0210g	0.0	0.0016516123350196969	0.0016516123350196969
samovar10	leakage	Enterococcus sp. DIV0180	0.07499067	0.06989122089838283	-0.005099449101617165
samovar10	leakage	Enterococcus sp. DIV0176	0.0	0.004596081444474043	0.004596081444474043
samovar10	leakage	Enterococcus sp. DIV2432	0.08075877	0.03589187126598381	-0.04486689873401618
samovar10	leakage	Roseateles chitinivorans	0.16757773	0.16757773441614443	4.4161444223700386e-09
samovar10	logistic_drop	Treponema denticola	0.07009628	0.0700962767070665	-3.292933495324668e-09
samovar10	logistic_drop	Escherichia coli	0.0	0.0007500355468893379	0.0007500355468893379
samovar10	logistic_drop	Klebsiella pneumoniae	0.145419	0.14466896695216008	-0.0007500330478399098
samovar10	logistic_drop	Proteus mirabilis	0.1030858	0.10308580090005284	9.000528378155792e-10
samovar10	logistic_drop	Enterococcus faecalis	0.07730022	0.1328742460474633	0.05557402604746331
samovar10	logistic_drop	Enterobacter asburiae	0.0	0.0025454270918663473	0.0025454270918663473
samovar10	logistic_drop	Corynebacterium auriscanis	0.06363568	0.06363567729665869	-2.703341314691521e-09
samovar10	logistic_drop	Enterobacter hormaechei	0.0	0.0013706145879280331	0.0013706145879280331
samovar10	logistic_drop	Enterobacter ludwigii	0.12681287	0.11335147899123721	-0.013461391008762785
samovar10	logistic_drop	Flagellimonas sp.	0.09032298	0.08777755146102678	-0.0025454285389732156
samovar10	logistic_drop	Enterobacter cloacae complex sp. FDA-CDC-AR_0132	0.0	0.0019090703188997605	0.0019090703188997605
samovar10	logistic_drop	Enterococcus sp. DIV0210g	0.0	0.0013501963466095853	0.0013501963466095853
samovar10	logistic_drop	Enterococcus sp. DIV0180	0.07499067	0.0719435270866618	-0.0030471429133381994
samovar10	logistic_drop	Enterococcus sp. DIV0176	0.0	0.0016969513945775646	0.0016969513945775646
samovar10	logistic_drop	Enterococcus sp. DIV2432	0.08075877	0.025184736487292324	-0.05557403351270767
samovar10	logistic_drop	Roseateles chitinivorans	0.16757773	0.16757773441614443	4.4161444223700386e-09
