dataset	method	rank	l1	unclassified
low75_enriched	kraken2_4mer_0.0	genus	0.696196	0.171638
low75_enriched	kraken2_graph_then_4mer_0.0	genus	0.695742	0.171638
low75_enriched	kraken2_4mer_0.5	genus	0.696196	0.171638
low75_enriched	kraken2_graph_then_4mer_0.5	genus	0.695742	0.171638
low75_enriched	kraken2_4mer_0.7	genus	0.696202	0.171641
low75_enriched	kraken2_graph_then_4mer_0.7	genus	0.695748	0.171641
low75_enriched	kraken2_4mer_0.85	genus	0.69963	0.17531
low75_enriched	kraken2_graph_then_4mer_0.85	genus	0.699176	0.175284
low75_enriched	kraken2_4mer_0.95	genus	0.902046	0.379368
low75_enriched	kraken2_graph_then_4mer_0.95	genus	0.90167	0.379175
low75_enriched	kaiju_4mer_0.0	genus	0.544312	0.111869
low75_enriched	kaiju_graph_then_4mer_0.0	genus	0.544012	0.111869
low75_enriched	kaiju_4mer_0.5	genus	0.544312	0.111869
low75_enriched	kaiju_graph_then_4mer_0.5	genus	0.544012	0.111869
low75_enriched	kaiju_4mer_0.7	genus	0.544318	0.111872
low75_enriched	kaiju_graph_then_4mer_0.7	genus	0.544018	0.111872
low75_enriched	kaiju_4mer_0.85	genus	0.546614	0.114249
low75_enriched	kaiju_graph_then_4mer_0.85	genus	0.546314	0.114228
low75_enriched	kaiju_4mer_0.95	genus	0.679454	0.263511
low75_enriched	kaiju_graph_then_4mer_0.95	genus	0.67897	0.263358
high100_enriched	kraken2_4mer_0.0	family	1.03465	0.349426
high100_enriched	kraken2_graph_then_4mer_0.0	family	1.03672	0.349426
high100_enriched	kraken2_4mer_0.5	family	1.03465	0.349426
high100_enriched	kraken2_graph_then_4mer_0.5	family	1.03672	0.349426
high100_enriched	kraken2_4mer_0.7	family	1.03465	0.349442
high100_enriched	kraken2_graph_then_4mer_0.7	family	1.03672	0.349442
high100_enriched	kraken2_4mer_0.85	family	1.04582	0.360884
high100_enriched	kraken2_graph_then_4mer_0.85	family	1.04787	0.360875
high100_enriched	kraken2_4mer_0.95	family	1.28874	0.603831
high100_enriched	kraken2_graph_then_4mer_0.95	family	1.28801	0.603441
high100_enriched	kaiju_4mer_0.0	family	0.835244	0.257421
high100_enriched	kaiju_graph_then_4mer_0.0	family	0.835936	0.257421
high100_enriched	kaiju_4mer_0.5	family	0.835244	0.257421
high100_enriched	kaiju_graph_then_4mer_0.5	family	0.835936	0.257421
high100_enriched	kaiju_4mer_0.7	family	0.835244	0.257437
high100_enriched	kaiju_graph_then_4mer_0.7	family	0.835936	0.257437
high100_enriched	kaiju_4mer_0.85	family	0.84445	0.266465
high100_enriched	kaiju_graph_then_4mer_0.85	family	0.845124	0.266456
high100_enriched	kaiju_4mer_0.95	family	1.03135	0.458873
high100_enriched	kaiju_graph_then_4mer_0.95	family	1.03037	0.458564
