example	graph	nodes	edges	edges_per_node
low75	k141	2685	24	0.00893855
low75	k21	122002	26914	0.220603
low75half	k141	4119	296	0.0718621
low75half	k21	108039	64134	0.593619
low75_enriched	k141	51535	1292	0.0250703
low75_enriched	k21	527112	668818	1.26883
low75half_enriched	k141	28455	6578	0.231172
low75half_enriched	k21	356823	558598	1.56548
high100	k141	989	4	0.00404449
high100	k21	149792	25674	0.171398
high100_enriched	k141	58137	620	0.0106645
high100_enriched	k21	876751	823034	0.938732
half100half_enriched	k141	31394	1238	0.0394343
half100half_enriched	k21	569445	659448	1.15805
