pair_id	role	domain	family	family_taxid	genus	genus_taxid	species_taxid	accession	organism_name	tax_id	strain	refseq_category	total_sequence_length	assembly_level	pair_mode	note
bacteria_streptomycetaceae	sim	bacteria	Streptomycetaceae	2062	Streptomyces	1883	1885	GCF_003208035.1	Streptomyces actuosus	1885	ATCC 25421	na	8145579	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_streptomycetaceae	db	bacteria	Streptomycetaceae	2062	Streptomyces	1883	1886	GCF_045039635.1	Streptomyces albidoflavus	1886	NBC_01110	reference genome	7215712	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_pseudomonadaceae	sim	bacteria	Pseudomonadaceae	135621	Pseudomonas	286	287	GCF_000006765.1	Pseudomonas aeruginosa PAO1	208964	PAO1	reference genome	6264404	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_pseudomonadaceae	db	bacteria	Pseudomonadaceae	135621	Pseudomonas	286	294	GCF_900215245.1	Pseudomonas fluorescens	294	ATCC 13525	reference genome	6511547	Chromosome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_bacillaceae	sim	bacteria	Bacillaceae	186817	Bacillus	1386	1390	GCF_019396925.1	Bacillus amyloliquefaciens	1390	GKT04	reference genome	4149690	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_bacillaceae	db	bacteria	Bacillaceae	186817	Bacillus	1386	1392	GCF_000008445.1	Bacillus anthracis str. 'Ames Ancestor'	261594	Ames Ancestor; A2084	reference genome	5503926	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_flavobacteriaceae	sim	bacteria	Flavobacteriaceae	49546	Flavobacterium	237	986	GCF_000016645.1	Flavobacterium johnsoniae UW101	376686	UW101; ATCC 17061	reference genome	6096872	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_flavobacteriaceae	db	bacteria	Flavobacteriaceae	49546	Flavobacterium	237	996	GCF_014844295.1	Flavobacterium columnare	996	F2S17	reference genome	3221278	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_enterobacteriaceae	sim	bacteria	Enterobacteriaceae	543	Enterobacter	547	550	GCF_905331265.2	Enterobacter cloacae	550		reference genome	5023439	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_enterobacteriaceae	db	bacteria	Enterobacteriaceae	543	Enterobacter	547	61645	GCF_007035805.1	Enterobacter asburiae	61645	17Nkhm-UP2	reference genome	4768325	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_microbacteriaceae	sim	bacteria	Microbacteriaceae	85023	Microbacterium	33882	2033	GCF_000202635.1	Microbacterium testaceum StLB037	979556	StLB037	na	3982034	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_microbacteriaceae	db	bacteria	Microbacteriaceae	85023	Microbacterium	33882	33883	GCF_030369635.1	Microbacterium arborescens	33883	SSF12	reference genome	3370341	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_paenibacillaceae	sim	bacteria	Paenibacillaceae	186822	Paenibacillus	44249	1401	GCF_003590055.1	Paenibacillus lautus	1401	E7593-69	na	7354571	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_paenibacillaceae	db	bacteria	Paenibacillaceae	186822	Paenibacillus	44249	1406	GCF_022811565.1	Paenibacillus polymyxa ATCC 842	1036171	ATCC 842	reference genome	5967522	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_burkholderiaceae	sim	bacteria	Burkholderiaceae	119060	Burkholderia	32008	292	GCF_009586235.1	Burkholderia cepacia	292	BC16	reference genome	8366868	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_burkholderiaceae	db	bacteria	Burkholderiaceae	119060	Burkholderia	32008	337	GCF_000960995.1	Burkholderia glumae LMG 2196 = ATCC 33617	1176492	ATCC 33617	reference genome	6820727	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_anaplasmataceae	sim	bacteria	Anaplasmataceae	942	Wolbachia	953	955	GCF_007971685.1	Wolbachia pipientis	955	wMel_N25	reference genome	1267781	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_anaplasmataceae	db	bacteria	Anaplasmataceae	942	Wolbachia	953	66084	GCF_000022285.1	Wolbachia sp. wRi	66084	wRi	na	1445873	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_micrococcaceae	sim	bacteria	Micrococcaceae	1268	Arthrobacter	1663	1665	GCF_046536215.2	Arthrobacter globiformis	1665	CNM05	na	5267372	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
