pair_id	role	domain	genus	genus_taxid	species_taxid	accession	organism_name	tax_id	strain	refseq_category	total_sequence_length	assembly_level	note
streptomyces	sim	bacteria	Streptomyces	1883	1885	GCF_003208035.1	Streptomyces actuosus	1885	ATCC 25421	na	8145579	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
streptomyces	db	bacteria	Streptomyces	1883	1886	GCF_045039635.1	Streptomyces albidoflavus	1886	NBC_01110	reference genome	7215712	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pseudomonas	sim	bacteria	Pseudomonas	286	287	GCF_000006765.1	Pseudomonas aeruginosa PAO1	208964	PAO1	reference genome	6264404	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pseudomonas	db	bacteria	Pseudomonas	286	294	GCF_900215245.1	Pseudomonas fluorescens	294	ATCC 13525	reference genome	6511547	Chromosome	Lower species taxid is simulated; higher species taxid is the database
bacillus	sim	bacteria	Bacillus	1386	1390	GCF_019396925.1	Bacillus amyloliquefaciens	1390	GKT04	reference genome	4149690	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
bacillus	db	bacteria	Bacillus	1386	1392	GCF_000008445.1	Bacillus anthracis str. 'Ames Ancestor'	261594	Ames Ancestor; A2084	reference genome	5503926	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
paenibacillus	sim	bacteria	Paenibacillus	44249	1401	GCF_003590055.1	Paenibacillus lautus	1401	E7593-69	na	7354571	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
paenibacillus	db	bacteria	Paenibacillus	44249	1406	GCF_022811565.1	Paenibacillus polymyxa ATCC 842	1036171	ATCC 842	reference genome	5967522	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
wolbachia	sim	bacteria	Wolbachia	953	955	GCF_007971685.1	Wolbachia pipientis	955	wMel_N25	reference genome	1267781	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
wolbachia	db	bacteria	Wolbachia	953	66084	GCF_000022285.1	Wolbachia sp. wRi	66084	wRi	na	1445873	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
corynebacterium	sim	bacteria	Corynebacterium	1716	1697	GCF_001941425.1	Corynebacterium ammoniagenes DSM 20306	649754	DSM 20306 = 9.6	reference genome	2790185	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
corynebacterium	db	bacteria	Corynebacterium	1716	1705	GCF_001941345.1	Corynebacterium stationis	1705	622=DSM 20302	reference genome	2862233	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
bradyrhizobium	sim	bacteria	Bradyrhizobium	374	375	GCF_030584785.1	Bradyrhizobium japonicum	375	S06K-Bj	reference genome	9677243	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
bradyrhizobium	db	bacteria	Bradyrhizobium	374	376	GCF_900011245.1	Bradyrhizobium sp.	376		na	7547693	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
vibrio	sim	bacteria	Vibrio	662	663	GCF_023650915.1	Vibrio alginolyticus	663	E110	reference genome	5150420	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
