pair_id	role	domain	family	family_taxid	genus	genus_taxid	species_taxid	accession	organism_name	tax_id	strain	refseq_category	total_sequence_length	assembly_level	pair_mode	note
bacteria_streptomycetaceae	sim	bacteria	Streptomycetaceae	2062	Streptomyces	1883	1885	GCF_003208035.1	Streptomyces actuosus	1885	ATCC 25421	na	8145579	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_streptomycetaceae	db	bacteria	Streptomycetaceae	2062	Streptomyces	1883	1886	GCF_045039635.1	Streptomyces albidoflavus	1886	NBC_01110	reference genome	7215712	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_bacillaceae	sim	bacteria	Bacillaceae	186817	Bacillus	1386	1390	GCF_019396925.1	Bacillus amyloliquefaciens	1390	GKT04	reference genome	4149690	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_bacillaceae	db	bacteria	Bacillaceae	186817	Bacillus	1386	1392	GCF_000008445.1	Bacillus anthracis str. 'Ames Ancestor'	261594	Ames Ancestor; A2084	reference genome	5503926	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_enterobacteriaceae	sim	bacteria	Enterobacteriaceae	543	Enterobacter	547	550	GCF_905331265.2	Enterobacter cloacae	550		reference genome	5023439	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_enterobacteriaceae	db	bacteria	Enterobacteriaceae	543	Enterobacter	547	61645	GCF_007035805.1	Enterobacter asburiae	61645	17Nkhm-UP2	reference genome	4768325	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_paenibacillaceae	sim	bacteria	Paenibacillaceae	186822	Paenibacillus	44249	1401	GCF_003590055.1	Paenibacillus lautus	1401	E7593-69	na	7354571	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_paenibacillaceae	db	bacteria	Paenibacillaceae	186822	Paenibacillus	44249	1406	GCF_022811565.1	Paenibacillus polymyxa ATCC 842	1036171	ATCC 842	reference genome	5967522	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_anaplasmataceae	sim	bacteria	Anaplasmataceae	942	Wolbachia	953	955	GCF_007971685.1	Wolbachia pipientis	955	wMel_N25	reference genome	1267781	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_anaplasmataceae	db	bacteria	Anaplasmataceae	942	Wolbachia	953	66084	GCF_000022285.1	Wolbachia sp. wRi	66084	wRi	na	1445873	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_lysobacteraceae	sim	bacteria	Lysobacteraceae	32033	Xanthomonas	338	339	GCF_013388375.1	Xanthomonas campestris pv. raphani	359385	MAFF106181	reference genome	4942039	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_lysobacteraceae	db	bacteria	Lysobacteraceae	32033	Xanthomonas	338	343	GCF_017301775.1	Xanthomonas translucens pv. undulosa	487909	XtLr8	reference genome	4649333	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_nitrobacteraceae	sim	bacteria	Nitrobacteraceae	41294	Bradyrhizobium	374	375	GCF_030584785.1	Bradyrhizobium japonicum	375	S06K-Bj	reference genome	9677243	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_nitrobacteraceae	db	bacteria	Nitrobacteraceae	41294	Bradyrhizobium	374	376	GCF_900011245.1	Bradyrhizobium sp.	376		na	7547693	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
bacteria_comamonadaceae	sim	bacteria	Comamonadaceae	80864	Comamonas	283	285	GCF_016599875.1	Comamonas testosteroni	285	G1	reference genome	5497097	Chromosome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_comamonadaceae	db	bacteria	Comamonadaceae	80864	Acidovorax	12916	12917	GCF_050626955.1	Acidovorax facilis	12917	37c5	reference genome	5806590	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_rhizobiaceae	sim	bacteria	Rhizobiaceae	82115	Agrobacterium	357	358	GCF_013318015.2	Agrobacterium tumefaciens	358	G3/79	reference genome	6002464	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_rhizobiaceae	db	bacteria	Rhizobiaceae	82115	Rhizobium	379	384	GCF_035969035.1	Rhizobium leguminosarum	384	TP16	na	8799320	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_enterococcaceae	sim	bacteria	Enterococcaceae	81852	Enterococcus	1350	1351	GCF_028116745.1	Enterococcus faecalis	1351	SVR2085	na	3600715	Chromosome	different_genera	Lower species taxid is simulated; higher species taxid is the database
