pair_id	role	domain	genus	genus_taxid	species_taxid	accession	organism_name	tax_id	strain	refseq_category	total_sequence_length	assembly_level	note
streptomyces	sim	bacteria	Streptomyces	1883	1885	GCF_003208035.1	Streptomyces actuosus	1885	ATCC 25421	na	8145579	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
streptomyces	db	bacteria	Streptomyces	1883	1886	GCF_045039635.1	Streptomyces albidoflavus	1886	NBC_01110	reference genome	7215712	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
bacillus	sim	bacteria	Bacillus	1386	1390	GCF_019396925.1	Bacillus amyloliquefaciens	1390	GKT04	reference genome	4149690	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
bacillus	db	bacteria	Bacillus	1386	1392	GCF_000008445.1	Bacillus anthracis str. 'Ames Ancestor'	261594	Ames Ancestor; A2084	reference genome	5503926	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
wolbachia	sim	bacteria	Wolbachia	953	955	GCF_007971685.1	Wolbachia pipientis	955	wMel_N25	reference genome	1267781	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
wolbachia	db	bacteria	Wolbachia	953	66084	GCF_000022285.1	Wolbachia sp. wRi	66084	wRi	na	1445873	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
bradyrhizobium	sim	bacteria	Bradyrhizobium	374	375	GCF_030584785.1	Bradyrhizobium japonicum	375	S06K-Bj	reference genome	9677243	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
bradyrhizobium	db	bacteria	Bradyrhizobium	374	376	GCF_900011245.1	Bradyrhizobium sp.	376		na	7547693	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
flavobacterium	sim	bacteria	Flavobacterium	237	986	GCF_000016645.1	Flavobacterium johnsoniae UW101	376686	UW101; ATCC 17061	reference genome	6096872	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
flavobacterium	db	bacteria	Flavobacterium	237	996	GCF_014844295.1	Flavobacterium columnare	996	F2S17	reference genome	3221278	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
microbacterium	sim	bacteria	Microbacterium	33882	2033	GCF_000202635.1	Microbacterium testaceum StLB037	979556	StLB037	na	3982034	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
microbacterium	db	bacteria	Microbacterium	33882	33883	GCF_030369635.1	Microbacterium arborescens	33883	SSF12	reference genome	3370341	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
streptococcus	sim	bacteria	Streptococcus	1301	1302	GCF_019046945.1	Streptococcus gordonii	1302	FDAARGOS 1454	reference genome	2187618	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
streptococcus	db	bacteria	Streptococcus	1301	1303	GCF_900637025.1	Streptococcus oralis ATCC 35037	655813	NCTC 11427	reference genome	1931548	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
sphingomonas	sim	bacteria	Sphingomonas	13687	13689	GCF_016027095.1	Sphingomonas paucimobilis	13689	FDAARGOS_908	reference genome	4367078	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
